id,nombre,direccion,circuitoCodigo,lat,lng,coverageEstado,coverageCriticas,coverageParciales,coverageOptimas
310fc965-1498-4c1d-9e67-f82c4ee06030,ESC. N 298 SALVADOR SIMSOLO,CHACRA 128 - CALLE 127,4,-27.3748862,-55.9380951,critico,7,0,0
0990af19-0bb8-493c-879b-c4de7c9d75fe,"ESC N°445 ""Libertadores de América""",ESC N 445 LIB DE AMERICA 143 Y 162 BARRIO,6,-27.4218735,-55.8943147,critico,5,0,0
083773f4-cccb-4303-92fa-e777d771f7b7,ESC. N 645 EJERCITO ARGENTINO,Av. Justo José de Urquiza 4056,2,-27.3588294,-55.9146165,critico,6,0,0
97d7448b-994a-4d55-9e85-ec8c560ba9bb,ESC. N 796 SANTA RITA,CALLE 90- CHACRA 118 - B,4,-27.3856135,-55.9368335,critico,7,0,0
8cae32af-85b2-4ec4-87ec-4734f4a7ad52,ESC.Nº 3 DOMINGO F SARMIENTO,SANTA FE 434,1,-27.3650388,-55.886192,critico,5,0,0
b42e0daa-e26b-4b82-94e5-8848a3702bbb,ESC. Nº 665 BATALLA DE TUCUMAN,CH 237 MZ H SEC. 16 Bº,4,-27.3956817,-55.9342522,critico,8,0,0
aa5e4a4c-d783-4075-a6fd-1acaacfd27d0,ESC. Nº7 JUSTO JOSE DE URQUIZA,CH 148 Bº IPRODHA 2800,3A,-27.3706463,-55.9502551,critico,4,0,0
464e9c06-a44b-4de0-bd1e-64a9d5f903c9,ESC. NORMAL EEUU DEL BRASIL,BELGRANO 515,1,-27.3632005,-55.8937157,critico,5,0,1
e0d1dc27-f49b-497d-8b97-c070cc0622ed,ESC.NRO 729 INT.LATINOAMERICA,CH 103 AV AGUADO/BLAS,4,-27.3755244,-55.9255806,critico,8,0,0
c05a9a16-1b10-4369-987c-af87371045a3,ESC. NRO 730 TAMBOR DE TACUARI,CH 149 VILLA CABELLO,3A,-27.3663542,-55.9491429,critico,7,0,0
6d65a813-6d2f-4a7c-93d0-fd76bd3ba559,ESC. PARROQUIAL P GOYENA,GDOR BARREYRO 3473,3,-27.3746665,-55.9114998,critico,7,0,0
2ab2a9ee-4323-404c-bcb3-d8deaba2ebb6,ESC.PARROQUIAL SAN MIGUEL,AV TAMBOR DE TACUARI,3A,-27.3669177,-55.9326136,critico,7,0,0
2aaaa1c0-d167-43e3-8108-42cdf79a084e,ESC PROV Nº 821,AV AGUADO 3650,4,-27.3802929,-55.925948,critico,5,0,0
96afe838-75f5-47dc-a7f4-dcd1309f86cb,ESC.PROV.NRO 106 J F KENNEDY,AV LAVALLE/ALTE BROWN,4,-27.3802605,-55.9071359,critico,7,0,0
